DATE=19991015, TIME=09:30:00, NPAN=751, NPMT=9522, NOWL=91, NLG=49, NBUT=22, NECK=4
H100 10  7 T10  0  130.503  -85.399  0  0  0  0
EAJF PGNR JGQR KEYA QA02  0x07  408.698 -716.211  162.778
EAJG PGVI JGQS KEYA QA03  0x07  392.624 -719.193  187.367
EAJH PGPE JGQT KEYA QA04  0x07  433.996 -700.993  163.440
EAJI PGFO JGQU KEYA QA05  0x07  417.922 -703.975  188.030
EAJJ PGPO JGQV KEYA QA06  0x07  401.848 -706.957  212.619
EAJK PGMJ JGQW KEYA QA07  0x07  459.299 -685.808  164.088
EAJL PGCT JGPX KGCA PC06  0x07  443.225 -688.790  188.677
EAJM PHRB JGPY KGCA PC07  0x07  427.152 -691.772  213.267
EAJN PGZD JGPZ KGCA PC08  0x07  411.091 -694.712  237.856
H119 10  4 T10  0   76.943  -48.529  0  0  0  0
EAJO PGVY JFYE KARA RA01  0x07  577.125 -590.648  162.116
EAJP PFQL JFYF KARA RA02  0x07  562.664 -595.652  187.372
EAJQ PGMI JFYG KARA RA03  0x07  554.860 -610.018  162.782
EAJR PGEH JFYH KARA RA04  0x07  548.178 -600.648  212.601
EAJS PGLU JFYI KARA RA05  0x07  540.375 -615.014  188.012
EAJT PIAT JFYJ KARA RA06  0x07  532.571 -629.380  163.422
EAJU PIBE JFYK KARA RA07  0x07  533.702 -605.632  237.851
EAJV PNCX JFRO KEYD QA29  0x07  525.913 -620.018  213.267
EAJW PGHF JFRP KEYD QA30  0x07  518.109 -634.384  188.678
EAJX PGYE JFRQ KEYD QA31  0x07  510.306 -648.750  164.088
H120 21  4 T21  0   72.161  -54.000  0  0  0  0
EAJY PFNP JGQX KEYA QA08  0x07  435.935 -650.270  312.015
EAJZ PFZA JHYU KEYB QA09  0x07  459.831 -632.913  312.001
EAKA PFYH JHYV KEYB QA10  0x07  483.718 -615.552  312.021
EAKB PFMW JHYW KEYB QA11  0x07  428.539 -665.181  287.639
EAKC PFOS JHYX KEYB QA12  0x07  452.417 -647.833  287.639
EAKD PFXL JHYY KEYB QA13  0x07  476.313 -630.476  287.625
EAKE PFUZ JHYZ KEYB QA14  0x07  500.200 -613.116  287.645
EAKF PFIV JHZA KEYB QA15  0x07  421.115 -680.114  263.257
EAKG PFAJ JHZB KEYB QA16  0x07  445.021 -662.744  263.263
EAKH PEZK JGQY KEYC QA17  0x07  468.898 -645.396  263.263
EAKI PFUS JGQZ KEYC QA18  0x07  492.794 -628.039  263.249
EAKJ PFSZ JGRA KEYC QA19  0x07  516.681 -610.679  263.269
EAKK PFNU JGRB KEYC QA20  0x07  437.596 -677.677  238.881
EAKL PFVV JGRC KEYC QA21  0x07  461.493 -660.320  238.867
EAKM PFVB JGRD KEYC QA22  0x07  485.379 -642.960  238.887
EAKN PFVJ JGRE KEYC QA23  0x07  509.276 -625.602  238.873
EAKO PFTY JGRF KEYC QA24  0x07  454.078 -675.241  214.505
EAKP PFYY JFRK KEYD QA25  0x07  477.974 -657.883  214.491
EAKQ PFUY JFRL KEYD QA26  0x07  501.861 -640.523  214.511
EAKR PFXP JFRM KEYD QA27  0x07  470.559 -672.804  190.129
EAKS PFXZ JFRN KEYD QA28  0x07  494.455 -655.447  190.115
H121 10  4 T10  0   73.140  -42.453  0  0  0  0
EAKT PFCM JFYL KARA RA08  0x07  609.801 -545.669  196.488
EAKU PGLF JFPW KARB RA09  0x07  611.662 -531.840  222.499
EAKV PGON JFPX KARB RA10  0x07  592.750 -554.245  218.999
EAKW PIBQ JFPY KARB RA11  0x07  613.490 -518.001  248.521
EAKX PIAU JFPZ KARB RA12  0x07  594.578 -540.406  245.021
EAKY PFAZ JFQA KARB RA13  0x07  575.666 -562.811  241.520
EAKZ PICZ JFQB KARB RA14  0x07  615.350 -504.172  274.532
EALA PGDQ JGXW KFUC QB21  0x07  596.438 -526.577  271.032
EALB PGLH JGXX KFUC QB22  0x07  577.526 -548.982  267.531
EALC PGPJ JGXY KFUC QB23  0x07  558.592 -571.356  264.054
H122 10  4 T10  0   63.381  -37.830  0  0  0  0
EALD PGLQ JGXZ KFUC QB24  0x07  609.811 -419.766  400.181
EALE PGLW JIAA KFUD QB25  0x07  592.746 -443.747  397.791
EALF PFWQ JIAB KFUD QB26  0x07  611.659 -436.859  376.185
EALG PGGH JIAC KFUD QB27  0x07  575.678 -467.709  395.371
